step,energy_eV,temperature_K
689,-812.67114258,144.0096
690,-812.74481201,148.9425
691,-812.93304443,160.2587
692,-813.03869629,166.9757
693,-812.93365479,161.5041
694,-812.76007080,152.7461
695,-812.75689697,152.4983
696,-812.89532471,161.5435
697,-812.94494629,165.1951
698,-812.84008789,159.4095
699,-812.70288086,150.9986
700,-812.67669678,150.6555
701,-812.79516602,157.1451
702,-812.96563721,167.2359
703,-813.00213623,169.4856
704,-812.84710693,159.9441
705,-812.70690918,152.4894
706,-812.76434326,153.9509
707,-812.87335205,160.0495
708,-812.83648682,157.7328
709,-812.69421387,150.6263
710,-812.58361816,145.6937
711,-812.58355713,147.1787
712,-812.70874023,153.9407
713,-812.87036133,162.7444
714,-812.92053223,164.2967
715,-812.85748291,163.9959
716,-812.81488037,160.2622
717,-812.86914062,162.8232
718,-812.92370605,164.5997
719,-812.89447021,164.5317
720,-812.79620361,159.3201
721,-812.65344238,152.1033
722,-812.51818848,143.1092
723,-812.49688721,143.1686
724,-812.58526611,148.3201
725,-812.64117432,150.2785
726,-812.57226562,146.4276
727,-812.47692871,144.0302
728,-812.49188232,143.6954
729,-812.64880371,152.6999
730,-812.81658936,161.7783
731,-812.84197998,163.0837
732,-812.70324707,155.6679
733,-812.58886719,149.6414
734,-812.68164062,154.8121
735,-812.87176514,166.0635
736,-812.92724609,170.4614
737,-812.82513428,165.9079
738,-812.70916748,159.4893
739,-812.71893311,162.0851
740,-812.84484863,169.8703
741,-812.91790771,174.3738
742,-812.80584717,167.2484
743,-812.62158203,157.1235
744,-812.57525635,155.2257
745,-812.71057129,163.6253
746,-812.86480713,171.4271
747,-812.87756348,170.9441
748,-812.77026367,164.8368
749,-812.69512939,160.7287
750,-812.77398682,165.8268
751,-812.94140625,176.0435
752,-812.99365234,179.9162
753,-812.85284424,173.6765
754,-812.70776367,164.8899
755,-812.73223877,163.5226
756,-812.84631348,171.3891
757,-812.86663818,171.5799
758,-812.79223633,167.8112
759,-812.72192383,162.0485
760,-812.73425293,162.7256
761,-812.80822754,165.8545
762,-812.84539795,169.8661
763,-812.78320312,168.2663
764,-812.68170166,163.1305
765,-812.66351318,161.8120
766,-812.69757080,164.4482
767,-812.65753174,162.8666
768,-812.56579590,156.8453
769,-812.54742432,155.6406
770,-812.61999512,160.1309
771,-812.71014404,163.6006
772,-812.76507568,168.3326
773,-812.78900146,169.4252
774,-812.82293701,170.3101
775,-812.88977051,175.0325
776,-812.94726562,177.7323
777,-812.92468262,175.0960
778,-812.82794189,171.1226
779,-812.75421143,169.1386
780,-812.76831055,169.0394
781,-812.78179932,169.2874
782,-812.72454834,165.5594
783,-812.65594482,162.9157
784,-812.65911865,164.6508
785,-812.72778320,167.4305
786,-812.79608154,172.5750
787,-812.80389404,174.1558
788,-812.74365234,170.3752
789,-812.67871094,166.4802
790,-812.67547607,166.0723
791,-812.69866943,165.9066
792,-812.64483643,162.6083
793,-812.54217529,158.1451
794,-812.51025391,157.5078
795,-812.55761719,160.5775
796,-812.58874512,162.0548
797,-812.55218506,161.7068
798,-812.48437500,158.6112
799,-812.45349121,157.9763
800,-812.48553467,159.6988
801,-812.53198242,161.6007
802,-812.52429199,160.9902
803,-812.48797607,159.7201
804,-812.51263428,163.5670
805,-812.57781982,167.4419
806,-812.61004639,169.1583
807,-812.60693359,166.6993
808,-812.63336182,167.7144
809,-812.72918701,174.6568
810,-812.84136963,181.4199
811,-812.87634277,183.4744
812,-812.82281494,181.6940
813,-812.78741455,179.4210
814,-812.84448242,182.4804
815,-812.91278076,186.3160
816,-812.84613037,183.4712
817,-812.68237305,173.5526
818,-812.57238770,166.5674
819,-812.57989502,166.6418
820,-812.63159180,168.7634
821,-812.59698486,165.5782
822,-812.42163086,155.6110
823,-812.27148438,146.2223
824,-812.28662109,146.4086
825,-812.38262939,152.1308
826,-812.37554932,152.3684
827,-812.26928711,146.9227
828,-812.22393799,147.1043
829,-812.32360840,153.4903
830,-812.49316406,164.9448
831,-812.56561279,169.0897
832,-812.48730469,166.0685
833,-812.41656494,161.9598
834,-812.48748779,167.7199
835,-812.59912109,176.7753
836,-812.57672119,175.9181
837,-812.43322754,168.4378
838,-812.33258057,163.7944
839,-812.37445068,164.9221
840,-812.47576904,172.2549
841,-812.48852539,173.9441
842,-812.41259766,169.4698
843,-812.40856934,167.3776
844,-812.57366943,174.1748
845,-812.77172852,185.7012
846,-812.84014893,189.3480
847,-812.79565430,186.9566
848,-812.76922607,187.1174
849,-812.81854248,188.5685
850,-812.85571289,190.6422
851,-812.72216797,181.9996
852,-812.43572998,165.9847
853,-812.19653320,152.3669
854,-812.12707520,147.6809
855,-812.12127686,146.6076
856,-812.06976318,144.5957
857,-812.01074219,141.2331
858,-812.03594971,143.9759
859,-812.17633057,152.9437
860,-812.35528564,161.6314
861,-812.42913818,166.9411
862,-812.37640381,164.5839
863,-812.32141113,160.4703
864,-812.34082031,161.1678
865,-812.33697510,162.6201
866,-812.24035645,156.6518
867,-812.15313721,152.6752
868,-812.16186523,153.2265
