time_fs,avg_displacement_A,rms_displacement_A,com_drift_A,bbox_volume_A3
1322.0,0.3442736830833425,0.40514489389546154,0.035035620031450936,1474.8035920531595
1323.0,0.34295215555483693,0.40393536165798827,0.034748300606723105,1468.7725181853484
1324.0,0.34165529532890626,0.40293700979482866,0.03441655069977105,1462.9395356973178
1325.0,0.3404808803462823,0.4021812434600432,0.034152361245696976,1458.1910332926705
1326.0,0.3395422113107315,0.40161230357641386,0.03394641048821566,1454.519485283476
1327.0,0.33882890934524795,0.4010954181683555,0.03375988310373483,1451.7448219666442
1328.0,0.33807043303879925,0.4003555021325905,0.03355113045323445,1449.0073167802416
1329.0,0.33699697870852485,0.39916158388214346,0.03327044035501331,1445.2561757249941
1330.0,0.3354469360248601,0.3972860348978154,0.032885965300525295,1439.9393227645962
1331.0,0.33374091196754224,0.39501226999016803,0.03253702068180038,1433.5099546455326
1332.0,0.3321361853062078,0.392608369601095,0.03234774416274693,1426.678018626101
1333.0,0.33071738366682796,0.3902947381234957,0.032300204073460445,1420.3676634969247
1334.0,0.3294374023646868,0.3882082603539661,0.032457628878184513,1418.3179404765308
1335.0,0.3283596630509419,0.3864881854292017,0.032795036901652995,1417.407708194603
1336.0,0.32759925660965633,0.3853073925037087,0.0333656525786236,1415.867754445413
1337.0,0.3271368596428726,0.38467324309926415,0.03422342636111413,1414.5530514434206
1338.0,0.3267834032808869,0.38438816301056544,0.03521938629205364,1414.1757614638984
1339.0,0.3262505311445008,0.38411361728196564,0.036320364041561644,1415.4695948954338
1340.0,0.32547769469455295,0.3837733697775433,0.03746729723695878,1419.7870413325577
1341.0,0.32453642708534025,0.3833302624389733,0.03855403316050603,1425.1908212830774
1342.0,0.32364512378394744,0.38291208239807717,0.039433193068133705,1431.2166422573623
1343.0,0.32289013275502243,0.3825715122680286,0.03988672599719925,1437.0635837692687
1344.0,0.32204890019667815,0.38212790106896727,0.03994771750149547,1441.6020227981853
1345.0,0.3210987557889811,0.3816443414522696,0.03977144129554224,1444.9071667678027
1346.0,0.32036737546136407,0.38148413286895166,0.039560549838999544,1446.2340502575496
1347.0,0.3200789403990769,0.38185907667176594,0.039553721278628544,1446.5218530280292
1348.0,0.3201278017188973,0.38266827931735875,0.039849383328164775,1446.5072347216615
1349.0,0.320235092826901,0.3836859295182566,0.04032739685601195,1446.9186766822484
1350.0,0.32015197410195306,0.384660032151631,0.04074703294587684,1447.6738134210527
1351.0,0.31995195678362615,0.3854050030266146,0.04103446933369585,1448.7424948709925
1352.0,0.31998093140318196,0.3859962246361652,0.041247053739727174,1450.4622518284527
1353.0,0.3202887231857763,0.3862711064516575,0.04138819461032481,1454.6175501946468
1354.0,0.32070338072258037,0.3861938599176594,0.04136460110007362,1459.926811464826
1355.0,0.32104365983753674,0.38573583131288774,0.04124935858288543,1463.384657938094
1356.0,0.32131818873157814,0.38505745153434706,0.04126129502582744,1465.0585780175204
1357.0,0.32167757025986315,0.38454356679446133,0.04166967619110829,1466.0072084352328
1358.0,0.3219752457519414,0.38422290938820924,0.04257794487255019,1469.2844570916734
1359.0,0.32222396304971024,0.3841220913896789,0.04394791619478429,1472.7350412419569
1360.0,0.3222139049957175,0.3840567520341653,0.045718053948158074,1473.4360155892268
1361.0,0.3219454876414714,0.38409862787767707,0.047612713184143965,1474.8968485607113
1362.0,0.32163092284498873,0.3843194537172528,0.049378665250697014,1478.3356386315988
1363.0,0.3213367370187536,0.3845310710670294,0.05087137709671002,1481.3335515310223
